tellimuse_nr,kuupaev,kliendi_id,kliendi_nimi,kliendi_linn,kliendityyp,toote_nimi,kategooria,tootemark,kampaania_nimi,kampaania_tyyp,liiklusallikas,makseviis,kogus,uhikuhind,muugisumma
1233,2025-09-01,10,Jaan Rebane,Tallinn,VIP,Sokolaad tume,Maiustus,Kalev,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,5,2.3,11.5
1301,2025-09-01,7,Greta Mets,Tallinn,VIP,Pirn,Puuvili,FreshFarm,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,3,1.8,5.4
1301,2025-09-01,7,Greta Mets,Tallinn,VIP,Kringel mooni,Maiustus,Leibur,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,6,2.8,16.8
1301,2025-09-01,7,Greta Mets,Tallinn,VIP,Apelsin,Puuvili,TropicBest,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,6,2.0,12.0
1319,2025-09-01,14,Nikolai Rand,Parnu,Regular,Croissant,Pagaritoode,LaLorraine,Google Ads brandikampaania,retargeting,facebook,Mobiilimakse,6,1.2,7.2
1319,2025-09-01,14,Nikolai Rand,Parnu,Regular,Juust Gouda,Piimatoode,Valio,Google Ads brandikampaania,retargeting,facebook,Mobiilimakse,5,4.5,22.5
1319,2025-09-01,14,Nikolai Rand,Parnu,Regular,Sai rukkine,Pagaritoode,Leibur,Google Ads brandikampaania,retargeting,facebook,Mobiilimakse,2,1.4,2.8
1319,2025-09-01,14,Nikolai Rand,Parnu,Regular,Pirn,Puuvili,FreshFarm,Google Ads brandikampaania,retargeting,facebook,Mobiilimakse,6,1.8,10.8
1322,2025-09-01,1,Alice Smith,Tallinn,Regular,Mineraalvesi 1L,Jook,Vichy,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,4,0.8,3.2
1322,2025-09-01,1,Alice Smith,Tallinn,Regular,Piim 2.5%,Piimatoode,Alma,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,7,1.1,7.7
1322,2025-09-01,1,Alice Smith,Tallinn,Regular,Kohv filtri 500g,Jook,Paulig,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,2,5.9,11.8
1322,2025-09-01,1,Alice Smith,Tallinn,Regular,Pirn,Puuvili,FreshFarm,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,2,1.8,3.6
1330,2025-09-01,19,Tiina Hein,Narva,Regular,Banaan,Puuvili,TropicBest,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,1.5,10.5
1344,2025-09-01,14,Nikolai Rand,Parnu,Regular,Õun,Puuvili,FreshFarm,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,6,1.2,7.2
1345,2025-09-01,13,Mari Sepp,Tallinn,VIP,Kohupiim,Piimatoode,Farmi,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,8,1.3,10.4
1345,2025-09-01,13,Mari Sepp,Tallinn,VIP,Mineraalvesi 1L,Jook,Vichy,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,1,0.8,0.8
1416,2025-09-01,2,Bob Jones,Tartu,VIP,Õun,Puuvili,FreshFarm,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,4,1.2,4.8
1416,2025-09-01,2,Bob Jones,Tartu,VIP,Sepik,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,1,2.5,2.5
1458,2025-09-01,11,Katrin Ilves,Tartu,Regular,Piim 2.5%,Piimatoode,Alma,Partneri sooduskood,partnerkampaania,otsing,Pangalink,6,1.1,6.6
1018,2025-09-02,8,Henri Puu,Parnu,Regular,Kohv filtri 500g,Jook,Paulig,Avanadala pakkumine,retargeting,google_ads,Mobiilimakse,2,5.9,11.8
1041,2025-09-02,10,Jaan Rebane,Tallinn,VIP,Banaan,Puuvili,TropicBest,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,4,1.5,6.0
1041,2025-09-02,10,Jaan Rebane,Tallinn,VIP,Saiake kaneeli,Pagaritoode,LaLorraine,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,2,1.0,2.0
1041,2025-09-02,10,Jaan Rebane,Tallinn,VIP,Jogurt maasika,Piimatoode,Alma,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,6,0.9,5.4
1055,2025-09-02,18,Siim Paju,Tartu,Regular,Piim 2.5%,Piimatoode,Alma,Google Ads brandikampaania,retargeting,facebook,Mobiilimakse,8,1.1,8.8
1104,2025-09-02,5,Eva Lepik,Narva,Regular,Apelsin,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Mobiilimakse,8,2.0,16.0
1214,2025-09-02,13,Mari Sepp,Tallinn,VIP,Kommid assortii,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,5,3.5,17.5
1217,2025-09-02,2,Bob Jones,Tartu,VIP,Sokolaad tume,Maiustus,Kalev,Google Ads brandikampaania,retargeting,facebook,Pangalink,3,2.3,6.9
1217,2025-09-02,2,Bob Jones,Tartu,VIP,Apelsinimahl 1L,Jook,Aura,Google Ads brandikampaania,retargeting,facebook,Pangalink,6,2.2,13.2
1217,2025-09-02,2,Bob Jones,Tartu,VIP,Piim 2.5%,Piimatoode,Alma,Google Ads brandikampaania,retargeting,facebook,Pangalink,6,1.1,6.6
1245,2025-09-02,14,Nikolai Rand,Parnu,Regular,Banaan,Puuvili,TropicBest,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,8,1.5,12.0
1245,2025-09-02,14,Nikolai Rand,Parnu,Regular,Pirn,Puuvili,FreshFarm,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,1,1.8,1.8
1356,2025-09-02,15,Olga Valk,Tartu,Regular,Coca-Cola 0.5L,Jook,CocaCola,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,1,1.5,1.5
1356,2025-09-02,15,Olga Valk,Tartu,Regular,Kohv filtri 500g,Jook,Paulig,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,5.9,41.3
1365,2025-09-02,8,Henri Puu,Parnu,Regular,Õun,Puuvili,FreshFarm,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,4,1.2,4.8
1365,2025-09-02,8,Henri Puu,Parnu,Regular,Sepik,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,2.5,7.5
1377,2025-09-02,4,Daniel Kask,Tallinn,VIP,Kommid assortii,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,5,3.5,17.5
1392,2025-09-02,13,Mari Sepp,Tallinn,VIP,Kohv filtri 500g,Jook,Paulig,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,5,5.9,29.5
1467,2025-09-02,3,Carla Tamm,Parnu,Regular,Kommid assortii,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,5,3.5,17.5
1467,2025-09-02,3,Carla Tamm,Parnu,Regular,Pirn,Puuvili,FreshFarm,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,1.8,12.6
1467,2025-09-02,3,Carla Tamm,Parnu,Regular,Kohupiim,Piimatoode,Farmi,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,1.3,9.1
1022,2025-09-03,2,Bob Jones,Tartu,VIP,Sepik,Pagaritoode,Leibur,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,2,2.5,5.0
1028,2025-09-03,8,Henri Puu,Parnu,Regular,Coca-Cola 0.5L,Jook,CocaCola,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,3,1.5,4.5
1028,2025-09-03,8,Henri Puu,Parnu,Regular,Banaan,Puuvili,TropicBest,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,7,1.5,10.5
1040,2025-09-03,5,Eva Lepik,Narva,Regular,Kommid assortii,Maiustus,Kalev,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,7,3.5,24.5
1040,2025-09-03,5,Eva Lepik,Narva,Regular,Piim 2.5%,Piimatoode,Alma,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,1.1,3.3
1048,2025-09-03,11,Katrin Ilves,Tartu,Regular,Croissant,Pagaritoode,LaLorraine,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,7,1.2,8.4
1048,2025-09-03,11,Katrin Ilves,Tartu,Regular,Sokolaad tume,Maiustus,Kalev,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,6,2.3,13.8
1048,2025-09-03,11,Katrin Ilves,Tartu,Regular,Martsipan 100g,Maiustus,Kalev,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,7,3.2,22.4
1119,2025-09-03,5,Eva Lepik,Narva,Regular,Coca-Cola 0.5L,Jook,CocaCola,Google Ads brandikampaania,retargeting,facebook,Pangalink,2,1.5,3.0
1119,2025-09-03,5,Eva Lepik,Narva,Regular,Kommid assortii,Maiustus,Kalev,Google Ads brandikampaania,retargeting,facebook,Pangalink,7,3.5,24.5
1119,2025-09-03,5,Eva Lepik,Narva,Regular,Saiake kaneeli,Pagaritoode,LaLorraine,Google Ads brandikampaania,retargeting,facebook,Pangalink,1,1.0,1.0
1136,2025-09-03,14,Nikolai Rand,Parnu,Regular,Piim 2.5%,Piimatoode,Alma,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,1,1.1,1.1
1136,2025-09-03,14,Nikolai Rand,Parnu,Regular,Kommid assortii,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,6,3.5,21.0
1142,2025-09-03,5,Eva Lepik,Narva,Regular,Coca-Cola 0.5L,Jook,CocaCola,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,8,1.5,12.0
1142,2025-09-03,5,Eva Lepik,Narva,Regular,Mineraalvesi 1L,Jook,Vichy,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,6,0.8,4.8
1148,2025-09-03,13,Mari Sepp,Tallinn,VIP,Pirn,Puuvili,FreshFarm,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,1.8,12.6
1148,2025-09-03,13,Mari Sepp,Tallinn,VIP,Sepik,Pagaritoode,Leibur,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,2.5,17.5
1156,2025-09-03,3,Carla Tamm,Parnu,Regular,Kringel mooni,Maiustus,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,1,2.8,2.8
1156,2025-09-03,3,Carla Tamm,Parnu,Regular,Kommid assortii,Maiustus,Kalev,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,8,3.5,28.0
1198,2025-09-03,10,Jaan Rebane,Tallinn,VIP,Sokolaad tume,Maiustus,Kalev,Partneri sooduskood,partnerkampaania,otsing,Mobiilimakse,2,2.3,4.6
1198,2025-09-03,10,Jaan Rebane,Tallinn,VIP,Mineraalvesi 1L,Jook,Vichy,Partneri sooduskood,partnerkampaania,otsing,Mobiilimakse,3,0.8,2.4
1198,2025-09-03,10,Jaan Rebane,Tallinn,VIP,Kringel mooni,Maiustus,Leibur,Partneri sooduskood,partnerkampaania,otsing,Mobiilimakse,6,2.8,16.8
1215,2025-09-03,13,Mari Sepp,Tallinn,VIP,Martsipan 100g,Maiustus,Kalev,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,3.2,9.6
1215,2025-09-03,13,Mari Sepp,Tallinn,VIP,Apelsin,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,2,2.0,4.0
1247,2025-09-03,18,Siim Paju,Tartu,Regular,Juust Gouda,Piimatoode,Valio,Google Ads brandikampaania,retargeting,facebook,Pangalink,7,4.5,31.5
1257,2025-09-03,18,Siim Paju,Tartu,Regular,Martsipan 100g,Maiustus,Kalev,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,2,3.2,6.4
1257,2025-09-03,18,Siim Paju,Tartu,Regular,Banaan,Puuvili,TropicBest,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,4,1.5,6.0
1278,2025-09-03,20,Urmas Tamme,Tallinn,Regular,Pirn,Puuvili,FreshFarm,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,7,1.8,12.6
1278,2025-09-03,20,Urmas Tamme,Tallinn,Regular,Sai rukkine,Pagaritoode,Leibur,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,3,1.4,4.2
1278,2025-09-03,20,Urmas Tamme,Tallinn,Regular,Piim 2.5%,Piimatoode,Alma,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,7,1.1,7.7
1324,2025-09-03,17,Riina Laas,Viljandi,VIP,Apelsinimahl 1L,Jook,Aura,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,4,2.2,8.8
1324,2025-09-03,17,Riina Laas,Viljandi,VIP,Saiake kaneeli,Pagaritoode,LaLorraine,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,1.0,3.0
1332,2025-09-03,10,Jaan Rebane,Tallinn,VIP,Piim 2.5%,Piimatoode,Alma,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,6,1.1,6.6
1355,2025-09-03,7,Greta Mets,Tallinn,VIP,Sepik,Pagaritoode,Leibur,Partneri sooduskood,partnerkampaania,otsing,Pangalink,2,2.5,5.0
1418,2025-09-03,2,Bob Jones,Tartu,VIP,Sokolaad tume,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,6,2.3,13.8
1418,2025-09-03,2,Bob Jones,Tartu,VIP,Martsipan 100g,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,7,3.2,22.4
1460,2025-09-03,11,Katrin Ilves,Tartu,Regular,Pirn,Puuvili,FreshFarm,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,1.8,5.4
1088,2025-09-04,18,Siim Paju,Tartu,Regular,Piim 2.5%,Piimatoode,Alma,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,5,1.1,5.5
1088,2025-09-04,18,Siim Paju,Tartu,Regular,Pirn,Puuvili,FreshFarm,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,5,1.8,9.0
1088,2025-09-04,18,Siim Paju,Tartu,Regular,Banaan,Puuvili,TropicBest,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,8,1.5,12.0
1088,2025-09-04,18,Siim Paju,Tartu,Regular,Juust Gouda,Piimatoode,Valio,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,2,4.5,9.0
1098,2025-09-04,5,Eva Lepik,Narva,Regular,Sai rukkine,Pagaritoode,Leibur,Partneri sooduskood,partnerkampaania,otsing,Mobiilimakse,7,1.4,9.8
1105,2025-09-04,17,Riina Laas,Viljandi,VIP,Piim 2.5%,Piimatoode,Alma,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,2,1.1,2.2
1121,2025-09-04,8,Henri Puu,Parnu,Regular,Kommid assortii,Maiustus,Kalev,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,2,3.5,7.0
1121,2025-09-04,8,Henri Puu,Parnu,Regular,Sepik,Pagaritoode,Leibur,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,8,2.5,20.0
1121,2025-09-04,8,Henri Puu,Parnu,Regular,Kohupiim,Piimatoode,Farmi,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,5,1.3,6.5
1125,2025-09-04,15,Olga Valk,Tartu,Regular,Martsipan 100g,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,1,3.2,3.2
1125,2025-09-04,15,Olga Valk,Tartu,Regular,Õun,Puuvili,FreshFarm,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,6,1.2,7.2
1193,2025-09-04,1,Alice Smith,Tallinn,Regular,Kommid assortii,Maiustus,Kalev,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,5,3.5,17.5
1193,2025-09-04,1,Alice Smith,Tallinn,Regular,Apelsin,Puuvili,TropicBest,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,5,2.0,10.0
1195,2025-09-04,5,Eva Lepik,Narva,Regular,Apelsinimahl 1L,Jook,Aura,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,6,2.2,13.2
1195,2025-09-04,5,Eva Lepik,Narva,Regular,Pirn,Puuvili,FreshFarm,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,2,1.8,3.6
1195,2025-09-04,5,Eva Lepik,Narva,Regular,Sepik,Pagaritoode,Leibur,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,5,2.5,12.5
1227,2025-09-04,19,Tiina Hein,Narva,Regular,Saiake kaneeli,Pagaritoode,LaLorraine,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,5,1.0,5.0
1227,2025-09-04,19,Tiina Hein,Narva,Regular,Piim 2.5%,Piimatoode,Alma,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,2,1.1,2.2
1227,2025-09-04,19,Tiina Hein,Narva,Regular,Croissant,Pagaritoode,LaLorraine,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,6,1.2,7.2
1227,2025-09-04,19,Tiina Hein,Narva,Regular,Banaan,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,8,1.5,12.0
1294,2025-09-04,1,Alice Smith,Tallinn,Regular,Sokolaad tume,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,4,2.3,9.2
1294,2025-09-04,1,Alice Smith,Tallinn,Regular,Kommid assortii,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,8,3.5,28.0
1323,2025-09-04,11,Katrin Ilves,Tartu,Regular,Piim 2.5%,Piimatoode,Alma,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,3,1.1,3.3
1354,2025-09-04,1,Alice Smith,Tallinn,Regular,Piim 2.5%,Piimatoode,Alma,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,2,1.1,2.2
1354,2025-09-04,1,Alice Smith,Tallinn,Regular,Jogurt maasika,Piimatoode,Alma,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,5,0.9,4.5
1354,2025-09-04,1,Alice Smith,Tallinn,Regular,Coca-Cola 0.5L,Jook,CocaCola,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,2,1.5,3.0
1354,2025-09-04,1,Alice Smith,Tallinn,Regular,Saiake kaneeli,Pagaritoode,LaLorraine,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,1,1.0,1.0
1362,2025-09-04,8,Henri Puu,Parnu,Regular,Banaan,Puuvili,TropicBest,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,6,1.5,9.0
1362,2025-09-04,8,Henri Puu,Parnu,Regular,Kohupiim,Piimatoode,Farmi,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,3,1.3,3.9
1362,2025-09-04,8,Henri Puu,Parnu,Regular,Coca-Cola 0.5L,Jook,CocaCola,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,3,1.5,4.5
1421,2025-09-04,12,Lauri Ots,Narva,Regular,Kommid assortii,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,1,3.5,3.5
1421,2025-09-04,12,Lauri Ots,Narva,Regular,Banaan,Puuvili,TropicBest,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,2,1.5,3.0
1429,2025-09-04,6,Franz Saar,Tartu,Regular,Sepik,Pagaritoode,Leibur,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,2,2.5,5.0
1429,2025-09-04,6,Franz Saar,Tartu,Regular,Mineraalvesi 1L,Jook,Vichy,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,2,0.8,1.6
1440,2025-09-04,13,Mari Sepp,Tallinn,VIP,Pirn,Puuvili,FreshFarm,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,4,1.8,7.2
1440,2025-09-04,13,Mari Sepp,Tallinn,VIP,Croissant,Pagaritoode,LaLorraine,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,8,1.2,9.6
1442,2025-09-04,8,Henri Puu,Parnu,Regular,Croissant,Pagaritoode,LaLorraine,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,6,1.2,7.2
1442,2025-09-04,8,Henri Puu,Parnu,Regular,Kommid assortii,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,2,3.5,7.0
1442,2025-09-04,8,Henri Puu,Parnu,Regular,Sokolaad tume,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,1,2.3,2.3
1476,2025-09-04,7,Greta Mets,Tallinn,VIP,Piim 2.5%,Piimatoode,Alma,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,4,1.1,4.4
1477,2025-09-04,10,Jaan Rebane,Tallinn,VIP,Kohv filtri 500g,Jook,Paulig,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,8,5.9,47.2
1013,2025-09-05,17,Riina Laas,Viljandi,VIP,Apelsin,Puuvili,TropicBest,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,3,2.0,6.0
1034,2025-09-05,10,Jaan Rebane,Tallinn,VIP,Pirn,Puuvili,FreshFarm,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,2,1.8,3.6
1034,2025-09-05,10,Jaan Rebane,Tallinn,VIP,Õun,Puuvili,FreshFarm,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,2,1.2,2.4
1034,2025-09-05,10,Jaan Rebane,Tallinn,VIP,Apelsinimahl 1L,Jook,Aura,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,4,2.2,8.8
1059,2025-09-05,5,Eva Lepik,Narva,Regular,Jogurt maasika,Piimatoode,Alma,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,2,0.9,1.8
1083,2025-09-05,19,Tiina Hein,Narva,Regular,Kommid assortii,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,7,3.5,24.5
1174,2025-09-05,2,Bob Jones,Tartu,VIP,Piim 2.5%,Piimatoode,Alma,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,8,1.1,8.8
1174,2025-09-05,2,Bob Jones,Tartu,VIP,Kohv filtri 500g,Jook,Paulig,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,1,5.9,5.9
1240,2025-09-05,15,Olga Valk,Tartu,Regular,Kohv filtri 500g,Jook,Paulig,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,4,5.9,23.6
1240,2025-09-05,15,Olga Valk,Tartu,Regular,Kommid assortii,Maiustus,Kalev,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,2,3.5,7.0
1240,2025-09-05,15,Olga Valk,Tartu,Regular,Jogurt maasika,Piimatoode,Alma,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,8,0.9,7.2
1283,2025-09-05,9,Irina Kivi,Viljandi,Regular,Juust Gouda,Piimatoode,Valio,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,7,4.5,31.5
1346,2025-09-05,9,Irina Kivi,Viljandi,Regular,Sokolaad tume,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,2.3,16.1
1379,2025-09-05,2,Bob Jones,Tartu,VIP,Martsipan 100g,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,8,3.2,25.6
1387,2025-09-05,2,Bob Jones,Tartu,VIP,Jogurt maasika,Piimatoode,Alma,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,5,0.9,4.5
1387,2025-09-05,2,Bob Jones,Tartu,VIP,Piim 2.5%,Piimatoode,Alma,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,6,1.1,6.6
1396,2025-09-05,17,Riina Laas,Viljandi,VIP,Jogurt maasika,Piimatoode,Alma,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,1,0.9,0.9
1433,2025-09-05,2,Bob Jones,Tartu,VIP,Kohv filtri 500g,Jook,Paulig,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,7,5.9,41.3
1433,2025-09-05,2,Bob Jones,Tartu,VIP,Kringel mooni,Maiustus,Leibur,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,6,2.8,16.8
1433,2025-09-05,2,Bob Jones,Tartu,VIP,Apelsinimahl 1L,Jook,Aura,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,1,2.2,2.2
1433,2025-09-05,2,Bob Jones,Tartu,VIP,Juust Gouda,Piimatoode,Valio,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,3,4.5,13.5
1492,2025-09-05,6,Franz Saar,Tartu,Regular,Apelsin,Puuvili,TropicBest,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,6,2.0,12.0
1492,2025-09-05,6,Franz Saar,Tartu,Regular,Kohupiim,Piimatoode,Farmi,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,2,1.3,2.6
1492,2025-09-05,6,Franz Saar,Tartu,Regular,Mineraalvesi 1L,Jook,Vichy,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,8,0.8,6.4
1110,2025-09-06,6,Franz Saar,Tartu,Regular,Kohupiim,Piimatoode,Farmi,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,3,1.3,3.9
1110,2025-09-06,6,Franz Saar,Tartu,Regular,Kohv filtri 500g,Jook,Paulig,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,4,5.9,23.6
